2024-04-08 14:10:46,340 INFO    MainThread:25300 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-08 14:10:46,341 INFO    MainThread:25300 [wandb_setup.py:_flush():76] Configure stats pid to 25300
2024-04-08 14:10:46,341 INFO    MainThread:25300 [wandb_setup.py:_flush():76] Loading settings from C:\Users\HP\.config\wandb\settings
2024-04-08 14:10:46,341 INFO    MainThread:25300 [wandb_setup.py:_flush():76] Loading settings from e:\Data Analysis\LoanPredictionSystemML\wandb\settings
2024-04-08 14:10:46,341 INFO    MainThread:25300 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-08 14:10:46,341 INFO    MainThread:25300 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-04-08 14:10:46,341 INFO    MainThread:25300 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-04-08 14:10:46,341 INFO    MainThread:25300 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-04-08 14:10:46,341 INFO    MainThread:25300 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-08 14:10:46,342 INFO    MainThread:25300 [wandb_init.py:_log_setup():521] Logging user logs to e:\Data Analysis\LoanPredictionSystemML\wandb\run-20240408_141046-qz8s9if4\logs\debug.log
2024-04-08 14:10:46,342 INFO    MainThread:25300 [wandb_init.py:_log_setup():522] Logging internal logs to e:\Data Analysis\LoanPredictionSystemML\wandb\run-20240408_141046-qz8s9if4\logs\debug-internal.log
2024-04-08 14:10:46,342 INFO    MainThread:25300 [wandb_init.py:init():561] calling init triggers
2024-04-08 14:10:46,343 INFO    MainThread:25300 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-04-08 14:10:46,343 INFO    MainThread:25300 [wandb_init.py:init():586] re-initializing run, found existing run on stack: 8cah6p05
2024-04-08 14:10:46,346 INFO    MainThread:25300 [wandb_run.py:_finish():2064] finishing run ericmaniraguha/loan_prediction_project/8cah6p05
2024-04-08 14:10:46,346 ERROR   MainThread:25300 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-04-08 14:10:46,346 INFO    MainThread:25300 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-08 14:10:46,346 INFO    MainThread:25300 [wandb_init.py:_jupyter_teardown():449] cleaning up jupyter logic
2024-04-08 14:10:46,346 INFO    MainThread:25300 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-04-08 14:10:46,346 INFO    MainThread:25300 [wandb_run.py:_restore():2287] restore
2024-04-08 14:10:46,346 INFO    MainThread:25300 [wandb_run.py:_restore():2293] restore done
2024-04-08 14:10:54,109 INFO    MainThread:25300 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-04-08 14:10:54,109 INFO    MainThread:25300 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-04-08 14:10:54,109 INFO    MainThread:25300 [wandb_run.py:_footer_sync_info():3895] logging synced files
2024-04-08 14:10:54,379 INFO    MainThread:25300 [wandb_init.py:init():611] starting backend
2024-04-08 14:10:54,379 INFO    MainThread:25300 [wandb_init.py:init():615] setting up manager
2024-04-08 14:10:54,379 INFO    MainThread:25300 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-04-08 14:10:54,379 INFO    MainThread:25300 [wandb_init.py:init():623] backend started and connected
2024-04-08 14:10:54,379 INFO    MainThread:25300 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-04-08 14:10:54,379 INFO    MainThread:25300 [wandb_run.py:_label_probe_notebook():1309] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-04-08 14:10:54,379 INFO    MainThread:25300 [wandb_init.py:init():715] updated telemetry
2024-04-08 14:10:54,459 INFO    MainThread:25300 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-08 14:10:56,604 INFO    MainThread:25300 [wandb_run.py:_on_init():2357] communicating current version
2024-04-08 14:10:58,764 INFO    MainThread:25300 [wandb_run.py:_on_init():2366] got version response 
2024-04-08 14:10:58,765 INFO    MainThread:25300 [wandb_init.py:init():799] starting run threads in backend
2024-04-08 14:10:59,102 INFO    MainThread:25300 [wandb_run.py:_console_start():2335] atexit reg
2024-04-08 14:10:59,103 INFO    MainThread:25300 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-08 14:10:59,103 INFO    MainThread:25300 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-08 14:10:59,103 INFO    MainThread:25300 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-08 14:10:59,104 INFO    MainThread:25300 [wandb_init.py:init():842] run started, returning control to user process
2024-04-08 14:10:59,111 INFO    MainThread:25300 [wandb_run.py:_finish():2064] finishing run ericmaniraguha/loan_prediction_project/qz8s9if4
2024-04-08 14:10:59,111 INFO    MainThread:25300 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-04-08 14:10:59,111 INFO    MainThread:25300 [wandb_run.py:_restore():2287] restore
2024-04-08 14:10:59,111 INFO    MainThread:25300 [wandb_run.py:_restore():2293] restore done
2024-04-08 14:11:05,846 INFO    MainThread:25300 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-04-08 14:11:05,846 INFO    MainThread:25300 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-04-08 14:11:05,858 INFO    MainThread:25300 [wandb_run.py:_footer_sync_info():3895] logging synced files
